educ_grp,n,share
<HS,1403,0.022887065463858665
HS,14506,0.23663561768976035
Some/AA,23677,0.3862416600055464
BA,12789,0.2086262866837409
MA,6999,0.11417432015790933
GD,1927,0.03143504999918435
