age_group,educ_grp,mean_earnings
<40,<HS,36914.10071942447
<40,HS,43017.56691648824
<40,Some/AA,50723.0461771385
<40,BA,73016.97681076438
<40,MA,92850.17283950627
<40,GD,109680.50955414012
≥40,<HS,50415.6977777778
≥40,HS,58046.45125348194
≥40,Some/AA,68173.31185567014
≥40,BA,96802.35047332176
≥40,MA,117236.85753803607
≥40,GD,171980.39057656535
